bus_100011,bus_100221,bus_100251,bus_100331,bus_100351,bus_100931,bus_102281,bus_103441,bus_105251,bus_105581,bus_105701,bus_106001,bus_106771,bus_107501,bus_110161,bus_130001,bus_131751,bus_133661,bus_134201,bus_134461,bus_135041,bus_200001,bus_200071,bus_200261,bus_201361,bus_204901,bus_211211,bus_211651,bus_216471,bus_230171,bus_230541,bus_230601,bus_232301,bus_232631,bus_233771,bus_251601,bus_252891,bus_253751,bus_253851,bus_254001,bus_254031,bus_254391,bus_255951,bus_255981,bus_256181,bus_256751,bus_257141,bus_257301,bus_258301,bus_261001,bus_261161,bus_261331,bus_262011,bus_280781,bus_280991,bus_281221,bus_283651,bus_284011,bus_284741,bus_285491,bus_286671,bus_300011,bus_301441,bus_301461,bus_301721,bus_301741,bus_302051,bus_302071,bus_302201,bus_302211,bus_303741,bus_400011,bus_400031,bus_400041,bus_400061,bus_400071,bus_400081,bus_400501,bus_401601,bus_401621,bus_401681,bus_401691,bus_402791,bus_402811,bus_403671,bus_403691,bus_403911,bus_405951,bus_406021,bus_406911,bus_407871,bus_408441,bus_408811,bus_409611,bus_409941,bus_500001,bus_500071,bus_500241,bus_500991,bus_501961,bus_503161,bus_530001,bus_530021,bus_530121,bus_532171,bus_600001,bus_600031,bus_601941,bus_605141,bus_605771,bus_606631,bus_700001,bus_700161,bus_700631,bus_701551,bus_701721,bus_740011,bus_740531,bus_741041,bus_741321,bus_742351,bus_770011,bus_771731,bus_772611,bus_800071
0.0,0.0,0.0,0.0,0.0,1267.9667670793158,258.0,0.0,0.0,0.0,417.9204764407077,0.0,24.209598214285712,0.0,0.0,0.0,0.0,0.0,1.004228329809725,293.740174075082,460.99596516312477,0.0,0.0,0.0,10.162790697674419,0.0,66.34951995672616,16.84422454789051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,161.64810875272292,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,10.034857177466685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9865646361507996,0.0,28.73672492904299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.22496662216292,0.0,113.27144088098552,233.3010680907878,0.0,195.0,264.82213438735175,0.0,0.0,195.0,195.0,646.9073449640815,0.0,466.1778656126482,236.98598130841125,0.0,0.0,0.0,717.3616804030748,0.0,0.0,171.94751773049646,0.0,262.61561047222904,0.0,0.0,6.38438952777098,0.0
0.0,0.0,0.0,0.0,0.0,1453.8743622249806,299.0,0.0,0.0,0.0,482.49278916330945,0.0,24.209598214285712,0.0,0.0,0.0,0.0,0.0,0.984093425953891,309.69028626218835,491.7898452386287,0.0,0.0,0.0,9.959025470653378,0.0,71.45332918416663,18.139934128497472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,178.6364248106247,0.0,0.0,5.2,0.0,5.2,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,10.806769268041046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2163003773931687,0.0,30.947242231277066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.31937027147308,0.0,100.14236665435712,222.988484646195,0.0,167.4,263.8339920948616,0.0,0.0,167.4,167.4,519.1018032546547,0.0,437.56600790513835,226.5105140186916,0.0,0.0,0.0,684.2154753390258,0.0,0.0,144.12198581560284,0.0,278.235869831172,0.0,0.0,6.7641301688279905,0.0
0.0,0.0,0.0,0.0,0.0,1302.7425148300938,307.0,0.0,0.0,0.0,429.77637648157884,0.0,24.444642857142856,0.0,0.0,0.0,0.0,0.0,1.011778918755663,298.5412148946108,469.2442693600108,0.0,0.0,0.0,10.239202657807308,0.0,141.2827190686931,35.86759702680182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,351.93111269373514,0.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,21.367930143626612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3595030189364925,0.0,61.19113804820693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.52692478860706,0.0,91.60884773078054,221.8050734312417,0.0,164.8,279.64426877470356,0.0,0.0,164.8,164.8,496.85365782143384,0.0,451.15573122529645,225.3084112149533,0.0,0.0,0.0,680.2658793392251,0.0,0.0,123.4312056737589,0.0,246.0190849033521,0.0,0.0,5.980915096647908,0.0
0.0,0.0,0.0,0.0,0.0,1169.2093479588773,323.0,0.0,0.0,0.0,385.3167513283121,0.0,24.209598214285712,0.0,0.0,0.0,0.0,0.0,0.9287224403503472,277.2505169755982,425.6863919862308,0.0,0.0,0.0,9.398671096345515,0.0,103.23614119140956,26.20867106227719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,266.9818475348312,0.0,0.0,16.4,0.0,16.4,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,15.613676377526835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6469274933115585,0.0,44.71273634064381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.2250222518914,0.0,80.91502050014678,224.34095460614157,0.0,172.0,283.596837944664,0.0,0.0,172.0,172.0,518.7897668963495,0.0,462.40316205533594,227.88434579439254,0.0,0.0,0.0,688.2392161922131,0.0,0.0,95.60567375886527,0.0,207.94470271592854,0.0,0.0,5.055297284071446,0.0
0.0,0.0,0.0,0.0,0.0,1218.0476097851752,284.0,0.0,0.0,0.0,404.159163893268,0.0,24.209598214285712,0.0,0.0,0.0,0.0,0.0,0.8280479210711769,272.56994578057623,412.80578944438327,0.0,0.0,0.0,8.379844961240309,0.0,155.66618143693444,39.51914220851235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,408.2436397660038,0.0,0.0,30.4,0.0,30.4,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,23.54331876251799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.006940107892261,0.0,67.42077771813932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.4515465064531,0.0,69.5598822070089,206.7588451268358,0.0,140.0,272.23320158102763,0.0,0.0,140.0,140.0,345.32311977715875,0.0,418.7667984189723,210.02453271028043,0.0,0.0,0.0,632.2537048779369,0.0,0.0,75.62836879432622,0.0,275.3070712013702,0.0,0.0,6.692928798629802,0.0
0.0,0.0,0.0,0.0,0.0,1289.1677491117266,304.0,0.0,0.0,0.0,427.02411397209084,0.0,24.209598214285712,0.0,0.0,0.0,0.0,0.0,0.9136212624584716,287.34632643267935,445.092743830679,0.0,0.0,0.0,9.245847176079733,0.0,129.45116131417203,32.86390663539477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,354.8127436504175,0.0,0.0,40.6,0.0,40.6,0.0,0.0,40.6,0.0,0.0,0.0,0.0,0.0,19.578497570022414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82693380060191,0.0,56.066757029391574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.28159768580332,0.0,81.4936492155025,228.9055407209613,0.0,180.8,264.82213438735175,0.0,0.0,180.8,180.8,365.49256707227676,0.0,451.9778656126482,232.5210280373832,0.0,0.0,0.0,699.213418686513,0.0,0.0,94.89219858156031,0.0,318.2627844384634,0.0,0.0,7.737215561536579,0.0
0.0,0.0,0.0,0.0,0.0,1505.9113973545684,330.0,0.0,0.0,0.0,501.5469142289952,0.0,24.209598214285712,0.0,0.0,0.0,0.0,0.0,0.9287224403503472,309.5295500812209,489.4751465842339,0.0,0.0,0.0,9.398671096345515,0.0,179.7932796030167,45.64431477138163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,473.80658840335764,0.0,0.0,37.4,0.0,37.4,0.0,0.0,37.4,0.0,0.0,0.0,0.0,0.0,27.19235773614224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.092963611947097,0.0,77.87049587415494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.6966510903427,0.0,94.20430834493273,235.49883177570098,0.0,277.6,288.04347826086956,0.0,0.0,277.6,277.6,495.6944143087524,0.0,572.5565217391304,239.21845794392527,0.0,0.0,0.0,719.8561308625874,0.0,0.0,123.4312056737589,0.0,320.2153168583313,0.0,0.0,7.784683141668705,0.0
0.0,0.0,0.0,0.0,0.0,1507.0103779135234,327.0,0.0,0.0,0.0,500.488351725346,0.0,24.209598214285712,0.0,0.0,0.0,0.0,0.0,1.0017114668277458,316.42279925337186,505.7298413823486,0.0,0.0,0.0,10.137320044296787,0.0,94.18847937912874,23.91173135120121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,252.02074179582348,0.0,0.0,23.4,0.0,23.4,0.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0,14.245286762417741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.239668679290995,0.0,40.79409203213795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.96078104138854,0.0,117.76714863316575,238.88000667556747,0.0,312.4,297.4308300395257,0.0,0.0,312.4,312.4,570.7731124468553,0.0,616.9691699604743,242.6530373831776,0.0,0.0,0.0,730.8566939616895,0.0,0.0,180.5092198581561,0.0,317.28651822852953,0.0,0.0,7.713481771470516,0.0
0.0,0.0,0.0,0.0,0.0,1528.64692146437,326.0,0.0,0.0,0.0,507.2631517487009,0.0,24.209598214285712,0.0,0.0,0.0,0.0,0.0,1.0369475485754556,321.7739699195714,517.5755019129128,0.0,0.0,0.0,10.49390919158361,0.0,176.5454010037364,44.819772310995376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,452.52311454832915,0.0,0.0,24.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,26.701140951231285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.946768140247407,0.0,76.46380304546054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.30051179350247,0.0,102.43270554592887,221.46695594125504,0.0,246.6,308.300395256917,0.0,0.0,246.6,246.6,502.0258906318722,0.0,562.299604743083,224.96495327102807,0.0,0.0,0.0,677.8657204050662,0.0,0.0,150.54326241134754,0.0,317.28651822852953,0.0,0.0,7.713481771470516,0.0
0.0,0.0,0.0,0.0,0.0,1369.017734718568,313.0,0.0,0.0,0.0,452.85303906113165,0.0,24.444642857142856,0.0,0.0,0.0,0.0,0.0,1.0017114668277458,303.9586426819808,479.5869091700522,0.0,0.0,0.0,10.137320044296787,0.0,220.62375342254046,56.00999141623732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,548.9131168665718,0.0,0.0,13.4,0.0,13.4,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,33.36765446073712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.930849541886051,0.0,95.55463429202759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.65898976412998,0.0,118.2895586550389,223.49566088117496,0.0,202.6,311.2648221343873,0.0,0.0,202.6,202.6,401.04626887553144,0.0,521.3351778656126,227.02570093457948,0.0,0.0,0.0,683.0128989037298,0.0,0.0,189.0709219858156,0.0,316.3102520185955,0.0,0.0,7.6897479814044525,0.0
